,,Unnamed: 0,song,album,lyrics
88,88,88,Weston Road Flows,,"One of dem ones—right
Weston Road Flows, I did this shit for my nigga Renny
Back when we couldn't buy pizza cause we were down to pennies
Feel like we go back a century, run in the store for Centuries
Then bring it back to your brother, man, we had to respect it
He was wavy, doin' mixtapes out of your basement
He let us hit the weed on occasion for entertainment
Then he would leave us at the house and go out on a mission
We probably would've got in less trouble just goin' with him
Feel like I never say much but, man, there's a lot to know
Feel like the difference between us really startin' to show
I'm lookin at they first week numbers like, ""What are those?""
I mean, you boys not even coming close
I gave niggas like you a reason for celebration
You number one and I'm Eddie Murphy, we tradin' places
Look in the mirror, I'm closer than I really appear
Creepin' like Chilli without the tender, love, and care
No tender love and care, no love and affection
I got a price on my head but there's a risk in collecting
I might be here as a vessel to teach people a lesson
Feel like they wanted me dead but couldn't pull it together
Yeah, but here we are and it's a new semester
40 the only one that know how I deal with the pressure
A couple nights where it started to feel like the feelings fadin'
A lot of problems that can't be fixed with a conversation
Your best day is my worst day, I get green like Earth Day
You treat me like I'm born yesterday, you forgot my birthday
You don't be scorin' perfect
You don't be workin' like how we be workin'
You platinum like wrappers
On Hershey's boy, that shit is worthless
You get the message over and over like it was urgent
And then act like you ain't heard it when you see me in person
The only thing I did to end up here was put the work in
And did it with a purpose
Used to have secret handshakes to confirm my friendships
Nowadays, they just shakin' my hand to hide the tension
A lot of people just hit me up when my name is mentioned
Shout out to KD, we relate, we get the same attention
It's rainin' money, Oklahoma City Thunder
The most successful rapper 35 and under
I'm assumin' everybody's 35 and under
That's when I plan to retire, man, it's already funded
Yeah, I brought your wifey out to Saint Martin
She violated, I sent her back where it all started
How quick they are to forget about their bachelor apartment
Leave it to niggas like you to show em' light in the darkness
Told my momma that I found a lady in the east
Cancun, when I got signed, they upgraded the suite
Don Julio in the freezer that they gave us for free
I get you all you can eat, just have some patience with me
You wouldn't tell me you loved me, started seein' Monique
Last time I heard from Monique, T-Minus was makin' beats
I used to hit the corner store to get to Tahiti Treat
Now the talk at the corner store is I'm TBE
The best ever, don't ever question, you know better
But shit ain’t always how it seems when it’s sewn together
Yeah, I let that last line breathe, it take a second to get it
Weston Road flows, my confidence level gettin' settled
Don't get hyped for the moment then start to backpedal
Don't let your newfound fame fool you
Or cloud up your judgement to talk loosely, I really do this
Been flowin' stupid since Vince Carter
Was on some through the legs arm in the hoop shit
Drinkin' Hpnotiq with Glenn Lewis, I been through it
Y'all was so afraid to lay claim to it
Too busy face screwin' on waste movements
You was ridin' TTC metro, I had the place boomin'
First take Drake, you know I rarely have to take two it
And they still take to it
Big Apple had the white hummer parked right in front of Fluid
And we be walkin' in that bitch like we already knew it
But money can't buy happiness, Jellee talkin' truthful
But I'm happiest when I can buy what I want
Get high when I want
Yeah, that's right, yeah"
89,89,89,Draft Day,,"[Produced by The Fam; co-produced by Boi-1da]
(Watch out, watch out)
(Look out, look out)
(Watch out, watch out)
Yeah
(Look out, look out)
Yeah
Draft day, Johnny Manziel
Five years later, how am I the man still?
Draft day, A. Wiggins
Fuck that other side, bitch, we stay winnin'
Aww man, you know I had to do it for you
You know I had to do it for ya
Yeah, suits and ties yellin' out, ""Pay the guys""
Man, I had to do it for ya
You know I had to do it for ya
You know I had to do it for ya
Aww man, aww man, aww man
Man, you know I had to—
Sometimes I laugh with God about how you can't stop me
I'm his darkest angel probably but he still got me
I'm gettin' mine, but still I better lives
And shit I set aside to make sure that my people getting by
Brunch with some Qatar royals and my cup is all oil
You know it's real when your niggas'll take the fall for you
All loyal so you keep eggin' me on
And we gonna have to crack a shell just to prove to you, you ain't hard-boiled, mm
Last night I tried some raw oysters
Man that boy growin' up quick, that boy know he the shit
That boy singin' on every song when he know he can spit
That boy manifested it, that boy knew it was written
That boy did it on purpose
That boy know that they shittin' on you, and they can't get past you
You should've followed all my moves, you won't realize 'til after
And if I left this shit to chance I would've picked a name like Chance the Rapper
Yeah, no offense 'cause I don't know that nigga
I'm focused on making records and gettin' bigger
Just hits, no misses, that's for the married folk
Tell 'em fix my suite up 'cause I'm comin' home
I heard they talking crazy, I was out of town
You know they love to pop all that shit when I'm not around
But when I'm here, not a sound, that'll make me snap, jot it down
Go in the booth and lay a body down
Know some Somalis that say we got it Wallahi
Get us donuts and coffee, we'll wait for him in the lobby
And I gotta tell him chill, Sprite got me on payroll
Let that man live, they say, ""Okay, if you say so""
See whatever I say goes, I play like I'm on 'roids, no Canseco
No Oakland A's though, shout out the Bay though
I think I'm on my eighth flow, just watch me paint flow
We all do it for the art so I could never hate though
Signin' off on more deals than a lawyer with a heavy case load
How the game turn into the Drake show?
Dog, what the fuck happen to so-and-so, where did they go?
Too worried 'bout bitches and fashion, they go missin' in action
And then you never notice they missin'
On some Hunger Games shit, I would die for my district
Jennifer Lawrence, you can really get it, yeah
I mean, for real, girl you know I had to do it for ya
You know I had to do it for ya
You know I had to— oh, wait, sidebar, left some beat at the end
So that all of you fuck niggas could loop it and get your lies off
SZN
Draft day, Johnny Manziel
Five years later, how am I the man still?
Draft day, A. Wiggins
Fuck that other side, bitch, we stay winnin'
Aww man, you know I had to do it for you
You know I had to do it for ya
Yeah, suits and ties yellin' out, ""Pay the guys""
Man, I had to do it for ya
You know I had to do it for ya
You know I had to do it for ya
Aww man, aww man, aww man
Man, you know I had to—
[Outro]"
90,90,90,No Tellin’,,"Envelopes comin' in the mail, let her open 'em
Hopin' for a check again, ain't no tellin'
Yeah, she invite me to the telly, keep the blade with me
When I go to check a bitch, ain't no tellin'
Yeah, police comin' 'round lookin' for some help
On a case they gotta solve, we never help 'em
Yeah, I stay up late at night, thinkin' 'bout my life
Want a lot, will I get it all? Ain't no tellin'
Ain't no tellin', yeah, ain't no tellin'
Yeah, no tellin', ain't no tellin'
Suitcase, I been livin' out a suitcase
Still drinkin' Henny, if it's done, I'll take the D'usse
Oops, ayy, fuck it, all you niggas two-faced
Got the club goin' up on a Tuesday
True say, I been goin' hard, but then again
They think I'm soft, think I'm innocent
I'm just lookin' in the mirror like I'm really him
Man, I'm really him, you just fillin' in
Man, I got a blunt, can I get a light? Yeah
I took the summer off to get it right
Yeah, I gave these boys a shot and they fuckin' failed
Niggas like ""You took the summer off? We couldn't tell""
Dawg, just bought a island, gotta sail to it
You pick the casket, I'll put the nail through it
I ain't gotta do it, but fuck it, somebody gotta do it
Hate if someone else did it, fuck, I may as well do it, ah!
Envelopes comin' in the mail, let her open 'em
Hopin' for a check again, ain't no tellin'
Yeah, she invite me to the telly, keep the blade with me
When I go to check a bitch, ain't no tellin'
Yeah, police comin' 'round lookin' for some help
On a case they gotta solve, we never help 'em
Yeah, I stay up late at night, thinkin' 'bout my life
Want a lot, will I get it all? Ain't no tellin'
Ain't no tellin', yeah, ain't no tellin'
Yeah, no tellin', ain't no tellin'
Okay, I had to switch the flow up on you niggas
The shit was gettin' too predictable
The new shit is on steroids, I would never pass a physical
I got it rollin' in all kinda ways, lump sum and residual, yeah
I mean we hear about the money you been gettin'
We just never seen a visual
It's our year (aw yeah), aw yeah
I mean besides Ricky Ross, Aubrey the biggest boss here (grunt)
What's the word these days?
Buncha' niggas chasing after all these women
They don't even know (WOOO)
Buncha' out of season women fuckin' off-season niggas
To get last season wardrobe (WOOO)
All the rappers that you vouch for
Need to get out of the house more, they washed up
And even if the team was religious with it
I can't really see another squad tryna' cross us, naw (WOOO)
[Interlude: Popcaan]
OVO, Unruly
One shot to make it in a life
From the six to the fucking 876
Envelopes comin' in the mail, let her open 'em
Hopin' for a check again, ain't no tellin'
Yeah, she invite me to the telly, keep the blade with me
When I go to check a bitch, ain't no tellin'
Yeah, police comin' 'round lookin' for some help
On a case they gotta solve, we never help 'em
Yeah, I stay up late at night, thinkin' 'bout my life
Want a lot, will I get it all? Ain't no tellin'
Ain't no tellin', yeah, ain't no tellin'
Yeah, no tellin', man ain't no tellin'
I gotta keep watchin' for oppers
'Cause anything's possible, yeah
There's no code of ethics out here
Anyone will take shots at you, yeah
Niggas think they can come take what I got
Let's be logical, yeah
V-Live, I order that Alfredo pasta
Then eat in the kitchen like I'm in the mafia
Houston, they get me though
European, my vehicle, how much it hit me fo'?
Ain't no tellin', yeah
What am I willin' to give her
To get what I want tonight?
Ain't no tellin'
Please do not speak to me
Like I'm that Drake from four years ago
I'm at a higher place
Thinkin' they lions and tigers and bears
I go huntin', put heads on my fire place, oh my
Take time, ain't no tellin'
Oh my, ain't no tellin'"
91,91,91,Practice,,"Yeah, Cash money shit
Cash money shit
I can tell that money's got you working
We've been talking for so long
Now we're finally here in person
I taste pain and regret in your sweat
You've been waiting for me, oh-ho
I can tell that you been practicing
I can tell that you been practicing
All those other men were practice, they were practice
Yeah, for me, for me, for me, for me
Girl you look good, won't you back that ass up
You a fine motherfucker, won't you back that ass up
Call me big daddy, won't you back that ass up
Girl who is you playing with, back that ass up
You working with some ass yeah, you bad yeah
Girl you working with some ass yeah, you bad yeah
Girl you working with some ass yeah, you bad yeah
Make a nigga spend his cash yeah, his last yeah
Hoes frown when you passed yeah, they mad yeah
Couple thousand on your bag yeah, fuck yeah
I'm a Big Tymer nigga yeah, money flipper yeah
Get it understood yeah, it's all good yeah
Girl I know it's real 'cause I've been around it
You only want what's real you just never found it
Don't give them no more chances, ooh girl they had their turn
Everything for a reason, there's things you had to learn from them
But when I get you to myself
You know what's going down, what's going down, oh
Girl you look good, won't you back that ass up
You a fine motherfucker, won't you back that ass up
Call me big daddy, won't you back that ass up
Girl who is you playing with, back that ass up
You working with some ass yeah, you bad yeah
Girl you working with some ass yeah, you bad yeah
Yeah, I know he messed up
But a let a real nigga make it right
Let a real nigga make it right, you deserve that much
Let me put something in your life
Let me put something in your life, put something in your life
You telling me it's only been a couple other people that you've been with
I'ma trust you, I'ma give you the benefit of the doubt, and I'ma love you
You can even call me daddy, give you someone to look up to
All my girls from the 504 need to drop it right now
Need to drop it right now
All my girls from the 504 need to drop it right now
Need to drop it right now
All my girls from the 504 need to drop it right now
Need to drop it right now
All my girls from the 504 need to drop it right now
Need to drop it right now, oh
After you back it up then stop
After you back it up then stop
Babygirl, after you back it up then stop
After you back it up then stop
I can tell that money's got you working
That your body's so wet
And we're finally here in person
I taste pain and regret in your sweat
You've been waiting for me, oh-ho
I can tell that you been practicing
I can tell that you been practicing
All those other men were practice, they were practice
Yeah, for me, for me, for me, for me"
92,92,92,"Two Birds, One Stone",,"Yeah, more, yeah
More time with family and friends, more life
More time to get it right
It's only me, but I'm seeing four shadows in the light
My demons visit me every night
To the most high, I'm forever indebted
I know I gotta pay somethin', I know that day's comin'
I put it all in the music
Because if I don't say it here, then I won't say nothin'
Could feel my hand getting tired from holding the grudges
Two birds, one stone, my aim is amazin'
I need to start losing my shit on you niggas that's hatin'
Too reserved, like I called ahead for me and my lady
Free C5, how the fuck we got the boss waiting?
Ever since the blue basement, I found God and I lost patience
Between rocks and hard places of all places
Spotted everywhere, like Dalmatian
Cops snoop around now, 'cause all of my dogs famous
Please welcome the October fall baby
Vaughan Road Academy, star player—my mind's not all there
Used to carry a lot of dead weight like a pallbearer
People too scared to tell the truth, so it's all dares
Count it, it's all there, and we all square
Quick money, I'm in and out
My dad used to use a soap bar 'til it's thinnin' out
But, shit, look at Dennis now, all Stacy Adams and linen'd out
More blessings for Sandi and him, more life
My parents never got it right
But God bless 'em both, I think we all alike
We all wide awake late at night, thinking on what to change
If we do get to do it twice in another life
Scared to go to sleep now
'Cause being awake is what all my dreams were like
Back when the bar that I had set for myself was out of sight
Tell me how I went and did chin-ups on this shit when I can't see it
Pin-ups of Meagan Good and Pam Grier
Soul sisters inspired my old scriptures
Now that feeling's gone like them old pictures
Mixin' liquor got us both twisted, words get so vicious
You just stare at me while you roll Swishers
Girl, I love you, but I don't miss ya
And no matter what year it is, I'm a 06er
Go figure, cold nigga, stay in school, man
Fuck the rap game, it's all lies and it's all filthy
Two percent of us rich and the rest of these niggas all milk it
Got two of my niggas off with a ""not guilty""
Gave back to the city and never said it if I didn't live it
But still, they try and tell you I'm not the realest
Like I'm some privileged kid that never sat through a prison visit
Or like it was just handed to me tied with a ribbon
I never worked to get it
But really it's you with all the drug dealer stories
That's gotta stop, though
You made a couple chops and now you think you Chapo
If you ask me though, you ain't lining the trunk with kilos
You bagging weed watching Pacino with all your niggas
Like, ""This what we need to be on,"" but you never went live
You middle-man in this shit, boy, you was never them guys
I can tell, 'cause I look most of you dead in your eyes
And you'll be tryna sell that story for the rest of your lives
Can't show us where the cash is, me, I don't judge
I'm just going off what the math is, numbers inflated
They all look at me, like, ""What have you done for me lately?""
""I like your older shit but wasn't in love with the latest.""
Aw, baby, stop debatin', I'm just a creative
My numbers out of this world
No wonder they got me feeling so alienated
You were the man on the moon
Now you just go through your phases
Life of the angry and famous
Rap like I know I'm the greatest then give you tropical flavors
Still never been on hiatus
You stay xann'd and perk'd up
So when reality set in, you don't gotta face it
I'm down 200 in Vegas but winning life on a daily basis
It seems like nobody wants to stay in my good graces
I'm like a real estate agent, putting you all in your places
Look what happens soon as you talk to me crazy
Is you crazy?"
93,93,93,Used To,,"[Intro 1: RiFF RAFF]
Boys, now listen, we got more motherfuckin' TV screens
On the outside the damn tour bus than on that motherfucker
Boys playin' Playstation
We come through motherfuckin' hang gliding
Off motherfuckin' Versace skyscrapers
I don't get it, what more can you ask for?
[Intro 2: Drake]
Yeah—sound, sound, sound
Yeah, real 6 side shit
Sickos, ah man
[Verse 1: Drake]
Yeah, when you get to where I'm at
You gotta remind 'em where the fuck you at
Every time they talkin', it's behind your back
Gotta learn to line 'em up and then attack
They gon' say your name on them airwaves
They gon' hit you up right after like it's only rap
Jewels look like I found a motherfuckin' treasure map
And ain't told no one where the fuck it's at
Shout out to the G's from the ends
We don't love no girls from the ends
I'm gon hit 'em with the wham once again
I'ma always end up as a man in the end, dog
It's just apparent every year
Only see the truth when I'm staring in the mirror
Lookin' at myself like, there it is there
Yeah, like there it is there man, whoo!
I ain't tryna chance it, I be with the bands
Like a nigga went to Jackson State or Grambling
Young Nick Cannon with the snare drum, dancin'
Watch the way I handle it, uh
Bring it to the bedroom, you know that shit is candle lit
She know I'm the man with it, uh
With the bands like I must've went to Clark, went to Hampton
I ain't playin' with it
[Chorus: Drake]
I ain't felt the pressure in a little while
It's gonna take some getting used to (what you say?)
Floatin' all through the city with the windows down
Puttin' on like I used to (what you say?)
They never told me when you get the crown
It's gon' take some getting used to (what you say?)
New friends all in their old feelings now
They don't love you like they used to, man
[Verse 2: Drake]
Way more gully gully than buddy buddy
Never needed your acceptance, never needed nothin'
Y'all don't understand, I'm the one they want to hear from
Y'all don't understand that it's me or nothin'
Yeah, I'm fuckin' glowin' up
Shaq postin' up on niggas that I used to have posters of
Real quick, man, you couldn't have hated that
Let's be real, nigga, you couldn't have made it that, woo!
Dance how I dance, watch me dance
You're fuckin' with the best, man, I'm too advanced
After this drop I got new demands
Can't meet the terms, keep it movin' then
Make sure the plane got a phone now
So when we 'bout to land I can call to tell the woes I'm home now
I'll tell 'em link up at the valet at the Hazy
Think I got the shit that had the city going crazy
[Chorus: Drake]
I ain't felt the pressure in a little while
It's gonna take some getting used to
Floatin' all through the city with the windows down
Puttin' on like I used to
They never told me when you get the crown
It's gon' take some getting used to
New friends all in their old feelings now
They don't love you like they used to, man
[Verse 3: Lil Wayne]
When you get to where the fuck I'm at
You gotta remind 'em about where you been
About all of the money that done came and went
About the two cents I ain't never spent
When they say you're too famous to pack a gat
I gotta remind 'em about where I'm from
Not about where I'm going, about where I've gone
Stepping on a Swisher roach like a stepping stone
Goin' at a nigga throat like a herringbone
Boy, do I smell beef? Mmmm, pheromones
Got a fuckin' halo over my devil horns
Trap pumpin' all night like Chevron
Suck a nigga dick for a iPhone 6
Fuck my nigga Terry for a new Blackberry
You can get buried for a ounce of Katy Perry
I was only five, but still remember the drought in '87
Lord, tell 'em bitches I ain't got no times to play games with 'em
I ain't got no time
Tell her that I love her and I hate her in the same sentence
I'm fuckin' her mind
I got, mind control over Deebo
Parmesan my panino
Promethazine over pinot
And when my bloods start shootin' that's B-roll, bitch
[Chorus: Drake & Lil Wayne]
I ain't felt the pressure in a little while
It's gonna take some getting used to
Floatin' all through the city with the windows down
Puttin' on like I used to
They never told me when you get the crown
It's gon' take some getting used to
New friends all in their old feelings now
They don't love you like they used to, man
[Outro: RiFF RAFF]
Let's just let bygones be bygones, okay?
Let's just go ahead and just let bygones be bygones
I pull up lookin' like a damn cyborg, weighin' 224
Oh man, these boys don't even understand
Listen when you see OVO Jodi pull up on the scene with Drake
For goodness sakes, well for goodness sakes
You see this mixtape you listenin' to? This an album
Yea, we could have, we could have sold it to you for 17.99
Or 29.99 with the shirt, buy it at the Target
These motherfuckers trippin' so hard I had to look down and double check cause I thought they had their shoes tied together—motherfuckers got they shoes tied together
What more could you ask for?
Boys harassing me with these questions
How about this? How about don't ask me no more motherfucking questions? We ain't doing no interview!"
94,94,94,Trust Issues,,"Uh
Aw yeah, aw yeah
Call up on drank and let's
Let's call up and, uh
All I care about is money and the city that I'm from
I'ma sip until I feel it, I'ma smoke it 'til it's done
I don't really give a fuck and my excuse is that I'm young
And I'm only getting older, somebody should've told you
I'm on one (Ayy), fuck it, I'm on one (Yeah)
I said I'm on one, fuck it, I'm on one, a strong one
Two white cups and I got that drink
It could be purple, it could be pink
Depending on how you mix that shit
Money to be got, and I'ma get that shit
'Cause I'm on one, fuck it, I'm on one
Aw yeah, aw yeah
You know what I'm
Oh yes, oh yeah
Oh yes, oh yeah
Uh, oh yes, oh yeah
Yeah, uh
You know what I'm sipping, I'll teach you how to mix it
But you're the only one 'cause I don't trust these bitches
I don't, I don't trust these bitches, they might catch me slipping
So you're the only one, 'cause I don't trust these bitches
They might, they might catch me slipping and put in something different
So you're the only one, 'cause I don't trust these bitches
I don't, I don't trust these bitches, they might catch me slipping
So you're the only one
Oh-woah, trust issues
Oh-woah, trust issues
Oh-woah, trust issues
Oh-woah, woah, woah, woah
Yeah, aw yeah, aw yeah
Let's call up on drank and let's all get wasted
On drank and let's all get faded, yeah, uh
Drizzy Drake, check me out
Coming live from the motherfuckin' North Side
Kick game, run game, run it real good
But never ever have my bitches sitting courtside
Same nigga that you knew way back when
You acting like it's somebody you don't know
Tell me, how the fuck we 'posed to stay friends
When you got a bunch of feelings that you don't show?
I could tell, I could tell, I could tell
Certain people don't like me no more
New shit don't excite me no more
Guess that they don't really make 'em like me no more, uh
You can look me in my eyes and see I ain't myself
'Cause if y'all what I created then I hate myself
But still, let them girls in and tell 'em all
Leave them cell phones on the table where we see them
I'm all day with it, man, AM to the PM
Niggas hating, I just wish that they would say it when they see him, oh
That's that shit that drives me crazy
And it's all that I've been getting lately
And it's probably why I'm scared to put the time in
Women want to fuck like they're me and I'm them
Looking for some things and I think that I can find 'em in you, in you
Oh-woah, trust issues
Oh-woah, trust issues
Oh-woah, trust issues
Oh-woah, woah, woah, woah
Yeah, aw yeah, aw yeah
Let's call up on drank and let's all get wasted
On drank and let's all get faded, yeah
Aw yeah, aw yeah
Call up on drank and let's
Let's call up on, uh"
95,95,95,Pop Style,,"Dropped outta school now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (Lifestyle)
Tell my mom I love her if I do not make it (Do not make it)
Got so many chains they call me Chaining Tatum (They do, they do)
And I like to finish what you think you started
Man you boys just got to Hollywood, you boys just started
You don't know what you just started
All I do is hang with the young and heartless
All this for my family, man, I try my hardest
It's all I ever did and look where it got him
Yeah, you've been on my mind lately
You've still got my number, girl you need to call me
I feel like they wanna see me learn the hard way
But you know I always handle that one my way
Girl, let me rock, rock, rock, rock, rock your body
Justin Timberlake and then I hit the highway
I can't trust no fuckin' body
They still out to get me cause they never got me
They still out to get me, I don't get it
I can not be got, and that's a given
Give a real nigga the number one
Even though I got like twenty-one
Cannot be me I'm a one-of-one
Schooling your ass like 101
They been out here tryna slide on me
They been out here telling lies on me
Everybody looking out for themself
But they still got they eyes on me
See me putting in the hard work now, ayy
Momma doesn't have to call work now, ayy
I decide when I start work now, ayy
Problems hit the gym, they all work out
MVP, MVP, oh-nine all the way to sixteen
Even next season looking like a breeze
Lot of y'all ain't built for the league, yeah
Trade you off the team while you in your sleep, yeah
Y'all showed me that nothing's guaranteed
And you don't know what you started
My friend's chain so big that he look like the artist
I can't trust no fuckin' body
They still out to get me cause they never got me
Dropped outta school now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (Lifestyle)"
96,96,96,Lord Knows,,"[Intro: Choir & Rick Ross]
And I know the sun will rise with me (huh!)
And I know the sun will rise with me (huh!)
And I know the sun will rise with me (I got it now) (huh!)
And I know the sun will rise with me
All we wanted was an opportunity
(Just Blaze!) Lord knows!
[Verse 1: Drake & Rick Ross]
It's your worst nightmare, it's my first night here
And this girl right here, who knows what she knows?
So I'm going through her phone if she go to the bathroom
And her purse right there, I don't trust these hoes at all
But that's just the result of me paying attention
To all these women that think like men with the same intentions
Talking strippers and models that try to gain attention
Even a couple pornstars that I'm ashamed to mention
But Weezy and Stunna my only role models
Haffa and Jordan my only role models
That's why I walk around with all this gold on
And every time I run into these niggas, they want no problems
Bottom sixes and chains, and some bracelets and rings
All of the little accents that make me a king
I never hear the disses they try and point out to me
But it's whatever if somebody won't make it a thing
I'm more concerned with niggas thinkin' 'bout Christmas in August
Do anything to buy gifts for they daughters
Get some shake, a brick in the press
And chef it like Mrs. Fields; they're making the cookie stretch
I know it so well, I know the hustle so well
Stunt like I'm working overnighters right by the motel
Drug money outfit, record clean
Spend it all on me and my fuckin' team
Matchin' Rollies for real, matchin' Rovers for real (woo!)
Places they say they've been, we actually going for real (woo!)
I'm really killin' shit, fuck all the jiggy rapping (woo!)
I'm going trigger happy just to see my niggas happy (woo!)
Mixtape legend, underground kings
Lookin' for the right way to do the wrong things (huh!)
With my new bitch that's living in Palm Springs
Young ass nigga, lifelong dreams
They take the greats from the past and compare us
I wonder if they'd ever survive in this era
In a time where it's recreation
To pull all your skeletons out the closet like Halloween decorations
I know of all the things that I hear they be poking fun at
Never the flow though, they know I run that
Fuck you all, I claim that whenever
I changed rap forever, the game back together, yeah
YM, I remain that forever
In the same place my brother Wayne at forever
I'm a descendant of either Marley or Hendrix
I haven't figured it out 'cause my story is far from finished
I'm hearing all of the jokes, I know that they tryna push me
I know that showin' emotion don't ever mean I'm a pussy
Know that I don't make music for niggas who don't get pussy
So those are the ones I count on to diss me or overlook me
Lord knows, Lord knows, I'm heavy, I got my weight up
Roberson boost your rate up, it's time that somebody paid up
A lot of niggas came up off of a style that I made up
But if all I hear is me, then who should I be afraid of?
Bought a white Ghost now shit is gettin' spooky
Very, very scary like shit you see in the movies
In this bitch, all drinks on the house like Snoopy
That's why all the real soldiers salute me
Trill nigga, for real
[Interlude: Rick Ross]
Huh! You know I love this
YOLO, you only live once
I'm going so hard my nigga, I swear homie
Every day is another opportunity to reach that goal
(M-M-Maybach Music)
[Verse 2: Rick Ross]
I fell in love with the pen, started fucking the ink (huh!)
The hustle's an art, I painted what I would think
Still allergic to broke, prescription straight to the paper
Destined for greatness, but got a place in Jamaica (woo!)
Villa on the water with the wonderful views (views)
Only fat nigga in the sauna with Jews (Jews)
Went and got a yacht, I'm talkin' Carnival cruise
And these niggas talking like hoes, they mad they not in my shoes
It's the red bottom boss (huh!), came to buy the bar (huh!)
Every bi-week, shit, I'm bound to buy a car (woo!)
Murder-cedes Benz or that bubble double R (woo!)
Headlights flicking, looking like a falling star
Everyday them hammers bang, whipping yay like Anna Mae (Anna Mae)
I run the gang but the ladies think I'm running game (running game)
Mink coats make your woman wanna fornicate (fornicate)
Rozay and Drake, I'm getting cake, nothing short of great (huh!)"
97,97,97,Pop Style (Single Version),,"[Intro: Drake]
Yeah, yeah
[Chorus: Drake]
Dropped outta school, now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (A lifestyle)
[Verse 1: Drake]
Tell my mom I love her if I do not make it (Do not make it)
Got so many chains they call me Chaining Tatum
(They do, they do)
And I like to finish what you think you started
Man, you boys just got to Hollywood, you boys just started
You don't know what you just started
All I do is hang with the young and heartless
All this for my family, man, I try my hardest
It's all I ever did and look where it got him
Yeah, you've been on my mind lately
You've still got my number, girl, you need to call me
I feel like they wanna see me learn the hard way
But you know I always handle that one my way
Girl let me rock, rock, rock, rock, rock your body
Justin Timberlake and then I hit the highway
I can't trust no fuckin' body
They still out to get me 'cause they never got me
[Bridge: JAY-Z]
They still out to get me, they don't get it
I cannot be got, and that's a given
[Verse 2: Kanye West]
They like, ""Pablo—""
""Why are all the windows tinted on your Tahoe?""
""Why do you know every single bitch that I know?""
""Why can't you just shut your mouth and take the high road?""
Fuck if I know, that's that Chicago
South, south side, that's the motto
Cop a crib and spend ten million on remodel
Take the devils out my life and preach the gospel, 'cause I know
We went way, way past the line of scrimmage, ayy
Throne is back up in it, ayy
In the field like Emmitt, ayy, y'all get so offended, ayy
I be blacking out, I ain't backing out
Jay about his business, and I'ma let you finish, but I
I just, I just, I just, I just wanna rock your body
Take you to the garage and do some karate
Chop it, chop it, chop it, chop it sipping sake
Throw a thick bitch on a Kawasaki (Perfect)
[Chorus: Drake]
Dropped outta school, now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (Lifestyle)"
